source_article,logical_fallacies,label
"This is an example of what?
""Attacks the arguer instead of the argument""",ad hominem,1
"Luke didn't want to eat his sheep's brains with chopped liver and brussel sprouts, but his father told him to think about the poor, starving children in a third world country who weren't fortunate enough to have any food at all.",appeal to emotion,1
Correlations between temperature and ice sheet melt rates support causal links in climate science.,false causality,0
"The timing of snowmelt correlates with temperature rises, influencing water availability downstream.",false causality,0
" 
The presence of police at protests cause an escalation of violence. It was the case that at the protest last night attended by uniformed police, there was an escalation of violence. Therefore, police should not be at protests.",false causality,1
"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",false dilemma,1
"There is a popular theory that atmospheric CO2 amplifies the creation of water vapor , thereby increasing warming through a “ positive feedback loop. ” But that theory so far is mostly speculative ; climate projections using models based on it have consistently failed , nearly always predicting far more warming than has occurred .",fallacy of logic,1
Educators using backward design reported more intentional alignment between objectives and assessments.,faulty generalization,0
Dr. Thomas Baker highlights the role of technology in supporting special education.,fallacy of credibility,0
Public opinion supports expanded after-school programs.,ad populum,0
A trial of phonemic awareness instruction with kindergartners showed significant gains in early reading indicators.,faulty generalization,0
"Over time , climate becomes a net problem : by the 2070s , the UN Climate Panel finds that global warming will likely cause damage equivalent to 0.2 per cent to 2 per cent of global GDP . This is certainly not a trivial cost , but nor is it the end of the world . It is perhaps half the social cost of alcohol today .",ad populum,1
Use of rubrics clarifies grading criteria for students.,fallacy of relevance,0
"Recently, we highlighted a British journalist’s story about the underside of Dubai’s startling ascent. Some in Dubai called foul, including one writer who wants to remind Britons that their own country has a dark side. After all, what to think of a country in which one-fifth of the population lives in poverty?",ad hominem,1
"Girl:"" I'm worried that my friend is mad at me.""
Friend: ""I wonder what you call a male lady bug?""",fallacy of logic,1
"""You haven't held a steady job since 1992. Worse than that, we couldn't find a single employer who'd provide you with a good reference.""",ad hominem,1
Energy efficiency improvements cut utility bills by reducing wasted energy.,circular reasoning,0
Use of technology supports personalized learning paths.,false causality,0
"If schools provide nutritious meals, student concentration increases.",fallacy of logic,0
Positive relationships between students and teachers promote learning.,fallacy of logic,0
"All judges are fair-minded individuals;  therefore, Judge Ito is fair in his decisions.",fallacy of logic,1
"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",fallacy of credibility,1
Many schools encourage parental communication.,ad populum,0
"Which rhetorical fallacy is a broad statement about people on the basis of gender, ethnicity, race, or political, social, professional, or religious group?",faulty generalization,1
"When your parent asks you why you have a bad grade in math class, and you answer, ""All teachers are the enemy!""",fallacy of relevance,1
School-based mentoring supports student persistence.,false causality,0
Why shouldn't I gossip about Laura Jane? You know she talks about us every chance she gets.,fallacy of relevance,1
"Teachers’ commitment to equity promotes inclusive practices, supported by school data.",appeal to emotion,0
"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?",faulty generalization,1
Dr. Angela Brown promotes professional development for educators.,fallacy of credibility,0
"Lois and Jan did a ""snow dance"" one afternoon, and it snowed that night. They claimed to have brought the snow.",false causality,1
The trend is always in one direction . '',faulty generalization,1
"“President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.”",false causality,1
God exists because the Bible says so. The Bible is a reliable source because it is the  word of God.,circular reasoning,1
You're with us or you're against us.,false dilemma,1
"The frequency of 100-year floods in some U.S. river basins has doubled in the last two decades, according to USGS records.",faulty generalization,0
You can either support our police or Black Lives Matter.,false dilemma,1
"The research and reasoning that supposedly supports (or that supposedly discredits) this intervention are a joke. The researchers are people who are not methodologically sophisticated and there have been rumors--I have no idea whether they're true or not--that they faked some of the data. The advocates (or opponents) of this intervention are the worst kind of sloppy thinkers. They are fanatical adherents who already have their minds made up; they've become true believers in their cause. They make arguments only a stupid person would accept, and mistakes in reasoning that would make an undergrad psych major blush. These are not the kind of people who deserve to be taken seriously.",ad hominem,1
Energy audits help identify opportunities for efficiency gains.,false dilemma,0
Use of formative feedback helps students correct misunderstandings.,fallacy of relevance,0
"Almost all of the students I talked to said that they don't like the senator. I'm sure he'll lose the election on Tuesday.
Which logical fallacy is represented here?",faulty generalization,1
Observation of 20 rural schools found that consistent teacher attendance positively correlated with student achievement gains.,faulty generalization,0
"Indeed , absent a significant adjustment to how billions of humans conduct their lives , parts of the Earth will likely become close to uninhabitable , and other parts horrifically inhospitable , as soon as the end of this century . Even when we train our eyes on climate change , we are unable to comprehend its scope .",fallacy of logic,1
"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble.",faulty generalization,1
"In a controlled comparison, students using mind maps retained more social studies content after one week.",faulty generalization,0
School climates that promote respect reduce bullying.,circular reasoning,0
The study on collaborative learning is promising; exploring group composition effects might help.,ad hominem,0
"Mom: Remember, dear. Nobody's going to buy the cow if they get the milk for free.
Daughter: You are only saying that because you are my mother.
Daughter: Wait... did you just call me a cow?
",ad hominem,1
Use of graphic organizers supports comprehension.,false dilemma,0
Timely feedback helps students adjust learning strategies.,false dilemma,0
Formative quizzes provide immediate feedback to learners.,fallacy of relevance,0
The paper addresses climate resilience planning; more integration with local knowledge systems is suggested.,ad hominem,0
That's what you'd expect someone like him/her to say,ad hominem,1
I bought new shoes then my head started itching. I must be allergic to the shoes.,false causality,1
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,appeal to emotion,1
Be happy with the 1972 Chevy Nova you drive.  There are many people in this country who don’t even have a car.,fallacy of relevance,1
"We should offer movies on our company’s website. REPLY: No, we’ve built our company’s fortune by renting movies only through our stores.",fallacy of credibility,1
Use of open-ended questions promotes critical thinking.,fallacy of relevance,0
"taps into people's desire to belong to a group. ""Everyone else is doing it!""",ad populum,1
"Forest management practices affect wildfire risk, with cause-effect demonstrated in fire ecology studies.",false causality,0
Encouraging student reflection deepens learning understanding.,fallacy of relevance,0
A little boy says that his friends should not go swimming in a river because his Mama said there were germs in the river.,fallacy of credibility,1
"Dr. Alex Chen, a marine biologist, describes coral reef responses to ocean acidification.",fallacy of credibility,0
Enhanced weather forecasting helps communities prepare for extreme events.,fallacy of logic,0
Climate projections also assume that planet Earth is not dynamic and that a temporary terrestrial vertebrate on an evolving planet can change major planetary and extraterrestrial systems .,fallacy of relevance,1
Carbon dioxide is plant food .,fallacy of logic,1
You have said on several occasions that summer Arctic sea ice would disappear by the middle of this decade . It hasn ’ t . Are you being alarmist ? No .,false dilemma,1
"Even if enough accurate surface temperature measurements existed to ensure reasonable planetary coverage ( it doesn ’ t ) and to calculate some sort of global temperature statistic , interpreting its significance would be challenging .",circular reasoning,1
Professional development keeps educators updated with best practices.,fallacy of relevance,0
"Telling viewers in the U.S. starkly that they ’ re “ making this island disappear , ” as a report from CNN ’ s John Sutter did in June 2015 , makes for good , blame-laden television .",appeal to emotion,1
Physical activity during the school day enhances cognitive function.,fallacy of relevance,0
"""You're clearly just too young to understand what’s happening.” The statement is an example of…",ad hominem,1
"Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .",ad hominem,1
Participation in maker spaces correlated with improved creativity scores on standardized divergent thinking assessments.,faulty generalization,0
"Among 5th-grade students, regular access to nonfiction texts correlated with improved comprehension of informational content.",faulty generalization,0
"Either you love me, or you hate me.",false dilemma,1
"If you don’t expose your child to germs, he will never get sick. Therefore, he will never build up his immune system to fight illness. He will grow up to be a sickly adult.",faulty generalization,1
"Parents’ concerns about academic rigor inform curriculum development, with assessment data.",appeal to emotion,0
"Other stuff in the hotter air is even scarier , with small increases in pollution capable of shortening life spans by ten years .",appeal to emotion,1
But the same coastline that draws locals to its scenic vistas is threatening to slowly engulf the historic city as sea levels rise due to global warming .,appeal to emotion,1
Student participation encourages responsibility.,false dilemma,0
"""Four legs good, two legs bad""",ad populum,1
The curriculum emphasizes critical thinking; integrating creativity more explicitly could strengthen it.,ad hominem,0
Regular physical education supports health and focus.,false dilemma,0
"""I'd like to punch him in the face."" - Donald Trump (Feb. 2016, at a campaign rally, remarks directed at a protester who was being escorted out of the rally.)",appeal to emotion,1
"“President Jones raised taxes, and then the rate of violent crime went up. Therefore, I think Jones is responsible for the rise in crime.""",false causality,1
"""I know the exam is graded based on performance, but you should give me an A. My cat has been sick, my car broke down, and I've had a cold, so it was really hard for me to study!""",appeal to emotion,1
A controlled study of gamified vocabulary apps showed increased retention after two weeks compared to flashcard methods.,faulty generalization,0
A trial of choice reading units increased reading volume and genre diversity among 8th graders.,faulty generalization,0
"If industrial processes become cleaner, air and water quality improve.",fallacy of logic,0
"He should know , having written one of the first textbooks on using computers to model physics phenomena .",fallacy of credibility,1
Dr. Olivia Martinez studies the effects of social-emotional learning on behavior.,fallacy of credibility,0
Sandra is an angel from heaven. She gave me a free lunch today.,fallacy of logic,1
A case study of a blended learning model in Texas found increased student satisfaction and higher completion rates in online modules.,faulty generalization,0
The study’s conclusions are measured; expanding on policy recommendations would improve applicability.,ad hominem,0
Every severe recession follows a Republican Presidency; therefore Republicans are the cause of recessions.,false causality,1
"Either you can save your money to buy a new car for yourself, or you can just take an Uber around for the rest of your life.",false dilemma,1
"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!",appeal to emotion,1
"Oh please, what do you know about labor laws? You don't even have a job.",ad hominem,1
"“Oh, please. What would you know about labor laws? You don’t even have a job.”",ad hominem,1
Use of graphic aids supports comprehension.,circular reasoning,0
Pre-AP kids are smart and creative.,faulty generalization,1
Urban green spaces contribute to cooling and air purification.,fallacy of relevance,0
"In a sample of 50 community college programs, peer mentoring improved persistence among first-generation college students.",faulty generalization,0
Dr. Robert Clark highlights benefits of early childhood nutrition programs.,fallacy of credibility,0
"Dr. Jonathan Reed, a hydrologist, studies the effects of drought on agriculture.",fallacy of credibility,0
Use of multimedia presentations engages diverse learners.,circular reasoning,0
"Student: Logical Fallacies have nothing to do with my life and I don’t want to learn them!
Teacher: You are too young to understand why it’s important!
Estudiante: ¡Las falacias lógicas no tienen nada que ver con mi vida y no quiero aprenderlas!
Maestro: Eres demasiado joven para entender por qué es importanto!",ad hominem,1
"Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.",false causality,1
Confession is good for the soul.,faulty generalization,1
This fallacy suggests that unlikely or ridiculous outcomes are likely when there’s just not enough evidence to think so.,faulty generalization,1
Plagiarism is deceitful because it is dishonest.,circular reasoning,1
Popular opinion favors school safety initiatives.,ad populum,0
Public interest in zero-waste lifestyles has grown.,ad populum,0
Reduced fossil fuel subsidies encourage cleaner energy investments.,fallacy of logic,0
The Council for Exceptional Children provides resources on special education practices.,fallacy of credibility,0
Public conversations frequently address climate-related economic transitions.,ad populum,0
"According to the International Literacy Association, early reading skills predict later academic success.",fallacy of credibility,0
"The Clinton administration ’ s plan to turn forests in the West into pristine land free of human interference risked fueling “ wildfires reminiscent of the Tillamook burn , the 1910 fires and the Yellowstone fire , ” Zybach , who is based in Oregon , told Evergreen magazine in 1994 , when the NWFP came into effect .",fallacy of credibility,1
"Use of adaptive learning technologies helps personalize instruction, benefiting diverse learners.",false causality,0
The music industry must either raise album prices or reduce pay for technicians and producers.,false dilemma,1
"Among low-income high school seniors, FAFSA coaching increased financial aid application success rates.",faulty generalization,0
The paper evaluates homework policies; considering student mental health implications might be beneficial.,ad hominem,0
"Rising temperatures cause changes in crop growing seasons, supported by agricultural studies.",false causality,0
"It is affected by innumerable interacting variables , atmospheric CO2 levels being just one . The more variables there are in any system or train of events , the lower the probability of all of them coming to pass .",ad populum,1
politicians coin names to cast blame,ad hominem,1
"Correlations between temperature and disease vector distribution are observed, with causality under investigation.",false causality,0
"At soccer practice, Willeidy tells Aida, ""Pace's soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!""",false causality,1
"Dr. Aisha Hassan, a climate adaptation specialist, emphasizes the importance of vulnerable community support.",fallacy of credibility,0
"In class, Ryan turns to Doug and says, ""Smoking cigarettes is nothing short of suicide: the smoker is willingly killing himself. Duh.""",fallacy of relevance,1
"Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.",ad hominem,1
"Witchcraft remains our most urgent spiritual problem because it threatens
our very souls.",circular reasoning,1
All women care about are their looks.,faulty generalization,1
"Medical Student: ""No one objects to a physician looking up a difficult case in medical books. Why, then, shouldn't students taking a difficult examination be permitted to use their textbooks?""",fallacy of logic,1
Energy policy reforms can accelerate the transition to clean sources.,fallacy of relevance,0
Case studies in Montessori schools showed that students developed executive function skills earlier than peers in traditional settings.,faulty generalization,0
The increased frequency of heatwaves is causally linked to global temperature rises.,false causality,0
"Do we really believe that one bellowing fan in a crowd of 85,000 at the MCG can completely change the course of a game ?",fallacy of logic,1
Clear instructions reduce confusion and improve task completion.,circular reasoning,0
A study on classroom acoustics found that sound-field amplification systems improved comprehension in large classes.,faulty generalization,0
"Among students in history courses using primary sources, analytical writing quality improved.",faulty generalization,0
Students in classrooms with consistent exit ticket routines improved in self-assessment over one semester.,faulty generalization,0
The study on student goal setting is insightful; addressing how teachers support this process could add value.,ad hominem,0
"The enthusiasm for electric vehicles is growing, backed by data on emissions reductions.",appeal to emotion,0
"Our colleague, Doctor Χ, is too young and inexperienced; we could do without his advice.",ad hominem,1
"In the last two decades, Amazon deforestation rates have been strongly linked to agricultural expansion and global soy demand.",faulty generalization,0
"I was assigned a personal trainer at the Rec, and he gave me a new workout program. But I don't have any confidence in his expertise, since he has obvious trouble controlling his own appetite.",ad hominem,1
Climate adaptation funding supports vulnerable infrastructure.,fallacy of relevance,0
"If schools integrate arts education, creativity is enhanced.",fallacy of logic,0
Student attendance supports learning continuity.,false causality,0
"Dr. Anthony Brooks, a hydrologist, explains the impact of changing rainfall patterns on water resources.",fallacy of credibility,0
"Despite the fact that our Q4 numbers are much lower than usual, we should push forward using the same strategy because our CEO Barbara says this is the best approach.",fallacy of credibility,1
"One reason that the 2007 predictions of future polar bear survival were so far off base is that the model developed by American biologist Steven Amstrup ( now at Polar Bears International , an NGO ) assumed any polar bear population decline would be caused by less summer ice , despite the Beaufort Sea experience .",fallacy of credibility,1
"If one is 16 years old or older, one can drive an automobile in Wisconsin.  I saw  your niece driving through Wausau yesterday.  She must be at least 16.",fallacy of logic,1
"On a larger scale , the ice caps show that after a natural orbitally driven warming , atmospheric carbon dioxide content increases 800 years later . Rather than atmos­pheric carbon dioxide driving temperature , it is the opposite .",false causality,1
Professional learning communities foster teacher collaboration.,circular reasoning,0
The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights?,ad hominem,1
Teacher use of differentiated instruction supports diverse learners.,false causality,0
"The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit",false dilemma,1
"“ When we distract our military with a radical climate change agenda , we detract from their main purpose of defending America from enemies ” like the Islamic State , said Mr. Buck of Colorado , the Republican congressman who sponsored the measure .",faulty generalization,1
The policy critique is constructive; outlining steps for policy revision could add actionable guidance.,ad hominem,0
"No animals are insects.
No insects are dogs.
Therefore, no dogs are animals.",fallacy of logic,1
"Büntgen et al , below , shows that temperatures in the northern hemisphere were warmer in the early 1400s than they are today",fallacy of credibility,1
"I know four poor families. They are lazy drug addicts. Therefore, all poor people are lazy drug addicts.",faulty generalization,1
"My opponent is an untrustworthy liar and an idiot. Therefore, you should believe me.",ad hominem,1
Dr. Bloom cannot be a competent marriage counselor because he is divorced.,ad hominem,1
Surveys reveal interest in career and technical education.,ad populum,0
"In her paper, Aida states ""Filthy, polluting hummers should be banned.""
Name that fallacy:",circular reasoning,1
"While debating with a friend on which movie would be better to see, you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross. What fallacy have you committed?",ad hominem,1
"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.",false causality,1
The Global Carbon Project provides data on worldwide carbon emissions.,fallacy of credibility,0
"The environmental impact assessment provides useful insights, but greater transparency in methodology is recommended.",ad hominem,0
"While air pollution levels and respiratory illness rates are correlated, multiple factors contribute to health outcomes.",false causality,0
Popular trends include outdoor learning initiatives.,ad populum,0
"By rejecting God, you are rejecting goodness, kindness, and love itself.",appeal to emotion,1
"The excitement of learning new skills enhances participation, alongside assessment of mastery.",appeal to emotion,0
"""I used to have that haircut. Then my mom got a job.""",ad hominem,1
"When someone says, ""Either schools need to fully open immediately and no students should wear masks or all teachers are Communists!""",false dilemma,1
Many educators incorporate project-based learning.,ad populum,0
Allowing gay marriage puts us on the way to polygamy and bestiality,faulty generalization,1
Popular opinion values school-community partnerships.,ad populum,0
You have a friend who claims that cats like to go to windows and watch sunsets because that is what her cats does. What fallacy has she committed?,faulty generalization,1
Dr. James Carter highlights the importance of early intervention services.,fallacy of credibility,0
"Mining may destroy the environment, but how about the people whose jobs will be affected? Should we ban it?",fallacy of relevance,1
Andanar is unfit for the position because he seems unqualified for it.,circular reasoning,1
"Image modelling shows that swaths of Osaka – the commercial heart of a region whose GDP is almost as big as that of the Netherlands – would disappear beneath the water in a 3C world , threatening the local economy and almost a third of the wider region ’ s 19 million residents .",ad populum,1
Public participation in energy-saving programs has grown.,ad populum,0
This fallacy is a distraction from the argument typically with some sentiment that seems to be relevant but isn’t really on-topic.,fallacy of relevance,1
"If it wasn't a missile, a bomb, or mechanical failure, then all that's left is a meteorite.",false dilemma,1
"""Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization. To prevent this terrible consequence, we should make animal experimentation illegal right now.""",faulty generalization,1
"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper too.",faulty generalization,1
"However , since 1998 , little warming has occurred while carbon dioxide emissions continue to increase . This is totally consistent with variations in the amount of heat the Earth receives from the Sun .",false causality,1
"The concern over melting permafrost is valid, with temperature and methane emission data supporting it.",appeal to emotion,0
"In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that ""Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!""",circular reasoning,1
"Teachers’ empathy reduces behavioral issues, tracked by disciplinary data.",appeal to emotion,0
"""Chick fil A is the greatest food chain in existence. Look at the crowds!""",ad populum,1
"In districts offering early college high school programs, graduation rates were higher than state averages.",faulty generalization,0
Teacher collaboration fosters professional growth.,false causality,0
Dendrochronological data from alpine regions show that warmer summers are associated with changes in tree growth density and seasonality.,faulty generalization,0
"Rainfall records from East Africa indicate more erratic rainy seasons since the late 1990s, which affects crop reliability.",faulty generalization,0
"If it ’ s science , it isn ’ t consensus .",false dilemma,1
